path_1_bw,delay_1,loss_1,path_2_bw,delay_2,loss_2,split_ratio
2.0,77,0.8,2.7,68,0.4,1.0
2.0,77,0.9,1.3,74,0.5,0.667
2.0,77,1.0,1.8,63,0.8,0.667
2.0,78,0.0,1.1,50,0.8,2.33
2.0,78,0.0,1.4,69,0.4,9.0
2.0,78,0.2,2.5,65,0.7,0.11
2.0,78,0.3,1.5,84,0.7,1.5
2.0,78,0.3,2.9,68,0.0,1.5
2.0,78,0.3,3.0,56,0.4,0.0
2.0,78,0.4,1.0,73,0.3,4.0
2.0,78,0.4,3.0,56,0.2,1.0
2.0,78,0.6,1.7,76,0.1,0.25
2.0,78,0.6,2.4,77,0.3,0.11
2.0,78,0.6,2.6,60,0.6,0.11
2.0,78,0.7,2.0,61,0.9,1.0
2.0,78,0.9,3.0,74,0.8,0.25
2.0,78,1.0,1.9,68,0.0,0.11
2.0,79,0.0,2.6,68,0.8,0.11
2.0,79,0.1,2.0,73,0.9,0.11
2.0,79,0.2,2.1,79,0.4,1.5
2.0,79,0.3,2.6,71,0.3,0.0
2.0,79,0.4,1.1,60,1.0,4.0
2.0,79,0.4,2.0,72,0.8,0.25
2.0,79,0.5,1.2,68,0.9,9.0
2.0,79,0.6,1.0,58,0.3,4.0
2.0,79,0.6,1.8,51,0.6,0.25
2.0,79,0.7,2.3,62,0.1,0.667
2.0,79,1.0,2.3,60,0.2,1.0
2.0,80,0.0,1.3,69,0.6,4.0
2.0,80,0.0,1.9,85,1.0,4.0
2.0,80,0.0,2.7,74,0.2,1.0
2.0,80,0.4,1.4,60,0.6,0.667
2.0,80,0.4,2.3,60,0.4,0.4286
2.0,80,0.4,2.6,83,0.6,0.4286
2.0,80,0.4,2.6,83,0.8,9.0
2.0,80,0.4,2.8,59,0.0,0.25
2.0,80,0.5,2.4,68,0.9,1.0
2.0,80,0.7,3.0,50,0.0,0.0
2.0,80,0.7,3.0,66,0.3,0.4286
2.0,80,0.8,2.2,52,0.7,0.11
2.0,80,0.9,2.1,67,1.0,0.667
2.0,80,0.9,2.8,70,0.4,0.11
2.0,80,1.0,2.4,50,0.7,0.4286
2.0,81,0.1,2.1,70,0.8,0.667
2.0,81,0.2,1.0,59,0.1,1.5
2.0,81,0.2,1.0,81,0.2,2.33
2.0,81,0.2,1.0,85,0.8,1.5
2.0,81,0.2,1.8,59,0.1,0.4286
2.0,81,0.3,2.4,82,0.5,0.4286
2.0,81,0.4,1.3,56,0.1,1.0
2.0,81,0.4,2.5,63,0.4,1.0
2.0,81,0.6,1.1,84,0.1,0.4286
2.0,81,0.6,1.8,81,0.1,1.0
2.0,81,0.8,1.2,68,1.0,4.0
2.0,81,0.8,1.4,80,0.5,0.25
2.0,81,0.8,1.5,75,0.2,0.11
2.0,81,0.9,2.4,57,0.1,0.667
2.0,81,1.0,2.2,71,0.3,0.0
2.0,81,1.0,3.0,72,0.7,0.25
2.0,82,0.1,1.2,82,0.2,1.5
2.0,82,0.1,1.3,55,0.1,0.667
2.0,82,0.1,2.3,73,0.0,0.11
2.0,82,0.4,1.7,83,0.0,2.33
2.0,82,0.4,2.5,67,0.4,0.4286
2.0,82,0.5,2.7,69,0.0,0.667
2.0,82,0.6,2.1,50,0.7,0.11
2.0,82,0.6,2.7,74,0.7,1.0
2.0,82,0.7,1.0,50,0.6,4.0
2.0,82,0.8,2.0,65,0.1,0.11
2.0,82,1.0,1.5,68,0.4,4.0
2.0,83,0.0,2.9,77,0.8,0.4286
2.0,83,0.1,2.5,84,1.0,0.11
2.0,83,0.1,2.7,62,0.4,0.4286
2.0,83,0.2,1.5,78,1.0,4.0
2.0,83,0.3,1.0,75,1.0,0.667
2.0,83,0.4,1.9,77,1.0,0.25
2.0,83,0.5,1.1,68,0.9,4.0
2.0,83,0.8,2.2,76,0.1,1.0
2.0,83,0.9,2.0,70,0.4,1.0
2.0,83,0.9,2.2,74,0.7,0.25
2.0,83,1.0,1.2,68,0.7,1.0
2.0,84,0.1,2.6,72,0.6,0.4286
2.0,84,0.3,3.0,52,0.3,0.0
2.0,84,0.4,1.9,72,0.1,0.4286
2.0,84,0.5,3.0,66,0.8,0.11
2.0,84,0.7,1.0,57,1.0,1.0
2.0,84,0.9,2.4,68,1.0,0.11
2.0,84,1.0,1.1,58,0.8,4.0
2.0,84,1.0,1.2,54,0.8,1.5
2.0,84,1.0,2.2,64,0.5,0.25
2.0,84,1.0,3.0,85,0.3,0.25
2.0,85,0.1,1.8,68,0.5,0.667
2.0,85,0.1,2.2,84,0.9,0.25
2.0,85,0.2,1.7,56,0.7,0.667
2.0,85,0.3,1.3,78,0.0,1.0
2.0,85,0.3,2.3,62,0.3,0.25
2.0,85,0.3,2.7,68,0.6,0.25
2.0,85,0.4,1.8,68,0.6,0.0
2.0,85,0.4,2.2,78,0.9,0.4286
2.0,85,0.5,1.2,74,0.4,2.33
2.0,85,0.5,2.3,69,0.0,0.25
2.0,85,0.8,1.6,72,0.3,0.25
2.0,85,0.8,2.4,64,0.3,1.0
2.0,85,1.0,1.1,68,0.0,4.0
2.1,50,0.0,2.3,58,0.8,1.0
2.1,50,0.1,2.9,79,0.0,1.0
2.1,50,0.2,1.7,69,0.6,4.0
2.1,50,0.5,1.7,76,0.4,0.11
2.1,50,0.5,2.1,72,0.2,1.5
2.1,50,0.6,1.9,79,0.5,1.0
2.1,50,0.8,1.3,63,0.4,9.0
2.1,50,0.9,2.0,73,0.6,2.33
2.1,50,0.9,2.7,50,0.0,0.25
2.1,50,1.0,2.9,70,0.2,0.667
2.1,51,0.1,1.8,83,0.8,1.0
2.1,51,0.1,2.0,53,0.3,0.4286
2.1,51,0.2,2.1,55,1.0,0.25
2.1,51,0.3,1.7,70,0.0,0.4286
2.1,51,0.4,2.2,81,0.9,4.0
2.1,51,0.5,1.7,53,1.0,0.667
2.1,51,0.7,1.3,61,1.0,1.0
2.1,51,0.9,2.3,58,0.7,0.25
2.1,51,0.9,2.6,53,0.1,0.667
2.1,52,0.0,1.0,64,0.6,0.11
2.1,52,0.0,1.5,51,0.6,0.667
2.1,52,0.5,1.2,76,0.5,9.0
2.1,52,0.5,2.7,85,0.2,0.4286
2.1,52,0.6,2.7,80,0.9,0.0
2.1,52,0.7,1.3,53,0.4,0.25
2.1,52,0.7,2.7,63,0.3,0.25
2.1,52,0.7,2.8,50,0.0,0.667
2.1,52,0.9,2.0,66,0.5,0.667
2.1,52,0.9,2.4,68,0.4,0.25
2.1,52,0.9,2.8,69,0.1,0.25
2.1,52,1.0,1.3,55,0.1,0.667
2.1,52,1.0,2.1,58,0.4,0.4286
2.1,53,0.0,1.5,73,0.8,0.4286
2.1,53,0.0,1.8,84,0.0,0.11
2.1,53,0.1,1.6,62,0.6,4.0
2.1,53,0.2,1.2,55,0.3,2.33
2.1,53,0.3,1.7,72,0.6,0.11
2.1,53,0.3,3.0,66,0.6,0.0
2.1,53,0.4,1.6,80,0.1,4.0
2.1,53,0.5,1.0,75,0.0,4.0
2.1,53,0.5,2.3,68,0.4,0.11
2.1,53,0.5,2.8,82,0.5,0.0
2.1,53,0.6,1.3,79,0.0,0.25
2.1,53,0.6,1.6,68,0.0,1.0
2.1,53,0.6,2.6,70,0.1,0.667
2.1,53,0.8,1.3,53,0.6,4.0
2.1,53,0.8,2.0,54,0.5,1.0
2.1,53,1.0,1.3,75,1.0,2.33
2.1,53,1.0,1.6,80,0.2,0.25
2.1,53,1.0,1.8,54,0.5,0.667
2.1,54,0.0,2.4,73,0.1,0.4286
2.1,54,0.1,1.4,71,0.2,0.25
2.1,54,0.1,1.8,75,0.2,4.0
2.1,54,0.3,1.8,69,0.1,0.0
2.1,54,0.3,2.9,77,0.9,0.0
2.1,54,0.4,1.7,61,1.0,1.5
2.1,54,0.4,1.9,69,0.6,0.25
2.1,54,0.4,2.2,58,1.0,4.0
2.1,54,0.6,1.9,61,0.7,0.667
2.1,54,0.7,1.0,61,1.0,9.0
2.1,54,0.8,1.8,56,0.5,0.4286
2.1,54,0.8,2.9,72,0.1,4.0
2.1,55,0.0,1.6,58,0.8,9.0
2.1,55,0.0,3.0,84,0.6,0.25
2.1,55,0.1,1.3,51,0.2,9.0
2.1,55,0.2,2.1,52,0.1,1.5
2.1,55,0.2,2.4,77,0.8,0.0
2.1,55,0.5,1.1,67,0.3,1.5
2.1,55,0.5,3.0,67,0.2,0.11
2.1,55,0.6,3.0,64,0.9,0.25
2.1,55,0.7,2.4,66,0.5,1.0
2.1,55,0.8,1.5,82,1.0,4.0
2.1,55,0.9,2.2,77,1.0,0.4286
2.1,55,1.0,1.3,66,0.5,1.5
2.1,55,1.0,1.6,53,0.1,1.0
2.1,55,1.0,1.7,81,0.5,0.0
2.1,56,0.2,1.5,58,0.1,2.33
2.1,56,0.4,2.0,55,0.7,0.25
2.1,56,0.4,2.6,68,0.4,1.0
2.1,56,0.4,3.0,53,0.4,0.667
2.1,56,0.8,1.0,80,0.3,0.25
2.1,56,0.8,1.7,52,0.0,1.5
2.1,56,0.8,2.7,69,0.0,0.25
2.1,56,0.9,1.9,57,1.0,1.5
2.1,56,1.0,2.9,80,0.5,0.667
2.1,57,0.0,1.2,65,0.9,9.0
2.1,57,0.2,2.3,50,0.2,0.11
2.1,57,0.3,1.4,50,0.1,0.11
2.1,57,0.7,1.2,67,0.3,1.5
2.1,57,0.7,1.7,83,0.6,2.33
2.1,57,0.8,2.5,85,0.4,0.11
2.1,57,1.0,1.1,71,0.4,0.4286
2.1,57,1.0,2.2,59,1.0,0.667
2.1,58,0.0,1.9,71,0.5,1.5
2.1,58,0.0,2.2,68,0.4,0.4286
2.1,58,0.0,2.4,71,0.8,0.0
2.1,58,0.2,2.0,57,0.3,0.4286
2.1,58,0.2,3.0,64,0.6,0.667
2.1,58,0.3,1.2,67,0.9,0.11
2.1,58,0.3,1.6,75,1.0,4.0
2.1,58,0.4,1.5,84,0.7,0.25
2.1,58,0.5,1.4,76,0.2,0.667
2.1,58,0.6,2.1,84,0.4,4.0
2.1,58,0.6,3.0,73,0.6,0.667
2.1,58,0.7,1.7,53,0.8,1.0
2.1,58,0.8,1.3,54,0.3,0.0
2.1,58,0.8,3.0,57,1.0,0.667
2.1,58,0.9,1.0,73,0.0,0.11
2.1,58,1.0,2.4,75,0.3,9.0
2.1,58,1.0,2.7,62,0.6,4.0
2.1,59,0.0,1.2,81,0.8,2.33
2.1,59,0.0,2.0,63,1.0,2.33
2.1,59,0.1,2.7,60,0.9,2.33
2.1,59,0.2,1.4,77,0.3,0.0
2.1,59,0.6,2.6,66,0.2,0.667
2.1,59,0.7,1.4,66,0.9,4.0
2.1,60,0.0,1.9,83,0.8,1.5
2.1,60,0.0,2.5,76,0.1,1.5
2.1,60,0.2,2.9,78,0.5,0.0
2.1,60,0.3,2.3,51,0.1,0.667
2.1,60,0.3,2.4,59,1.0,0.25
2.1,60,0.3,2.9,54,0.7,1.0
2.1,60,0.4,2.3,74,0.3,0.4286
2.1,60,0.5,1.2,77,0.1,0.667
2.1,60,0.7,1.4,77,0.9,2.33
2.1,60,0.7,2.0,79,0.2,0.11
2.1,60,0.7,2.3,85,0.1,1.5
2.1,60,0.7,3.0,84,0.3,0.667
2.1,60,0.8,1.6,55,0.8,0.11
2.1,60,0.8,1.7,75,1.0,1.0
2.1,60,0.9,2.0,59,0.0,1.0
2.1,60,0.9,2.5,80,0.4,1.0
2.1,60,1.0,1.0,70,0.2,2.33
2.1,60,1.0,1.1,65,0.7,0.11
2.1,61,0.0,1.0,60,0.6,2.33
2.1,61,0.0,1.8,60,0.5,0.11
2.1,61,0.1,1.1,60,0.3,9.0
2.1,61,0.1,1.1,74,0.1,0.0
2.1,61,0.2,1.0,57,0.3,9.0
2.1,61,0.2,2.4,65,0.0,0.11
2.1,61,0.2,2.4,82,0.9,1.0
2.1,61,0.4,1.2,59,0.0,0.11
2.1,61,0.4,3.0,70,1.0,0.4286
2.1,61,0.5,2.0,80,0.6,2.33
2.1,61,0.5,2.9,71,0.5,1.0
2.1,61,0.6,1.2,66,0.1,0.0
2.1,61,0.6,1.9,58,0.4,0.667
2.1,61,0.6,2.3,70,0.7,0.667
2.1,61,0.8,1.1,58,0.7,4.0
2.1,61,0.8,1.4,73,1.0,4.0
2.1,61,0.8,1.8,68,1.0,0.11
2.1,61,0.8,2.6,54,0.2,0.11
2.1,61,0.9,1.5,59,0.2,2.33
2.1,62,0.0,2.3,67,0.7,0.4286
2.1,62,0.0,3.0,81,0.0,0.11
2.1,62,0.1,2.4,78,0.0,0.11
2.1,62,0.2,1.2,61,0.0,2.33
2.1,62,0.4,2.5,83,0.8,0.4286
2.1,62,0.6,2.7,71,1.0,9.0
2.1,62,0.7,1.1,50,0.9,4.0
2.1,62,0.7,1.2,71,0.0,0.11
2.1,62,0.8,1.2,63,1.0,9.0
2.1,62,0.8,2.4,72,0.7,1.5
2.1,62,0.9,2.1,68,0.6,0.25
2.1,62,1.0,1.1,69,0.6,4.0
2.1,62,1.0,3.0,61,0.6,1.0
2.1,63,0.0,1.7,59,0.9,4.0
2.1,63,0.0,2.8,78,1.0,1.5
2.1,63,0.1,1.3,83,1.0,4.0
2.1,63,0.1,2.8,67,0.4,0.667
2.1,63,0.2,2.6,63,0.4,0.25
2.1,63,0.3,1.1,72,0.3,9.0
2.1,63,0.5,2.0,50,0.6,0.25
2.1,63,0.5,2.5,50,0.8,0.25
2.1,63,0.7,1.7,70,0.1,0.25
2.1,63,0.7,2.8,77,0.6,0.11
2.1,63,0.8,1.4,79,0.0,1.0
2.1,63,0.8,2.7,79,0.8,0.0
2.1,63,0.9,2.3,51,0.1,0.0
2.1,63,0.9,2.6,62,0.5,0.25
2.1,64,0.0,1.1,63,0.6,1.5
2.1,64,0.1,2.2,58,0.5,0.667
2.1,64,0.1,2.5,63,0.4,0.667
2.1,64,0.1,2.5,85,1.0,2.33
2.1,64,0.1,2.8,51,0.1,0.11
2.1,64,0.2,1.3,66,0.5,0.0
2.1,64,0.2,1.3,66,0.9,2.33
2.1,64,0.3,1.2,51,0.7,4.0
2.1,64,0.3,1.4,55,1.0,0.667
2.1,64,0.6,1.5,76,0.9,0.25
2.1,64,0.8,1.1,61,0.4,1.0
2.1,64,0.8,1.9,83,0.2,0.667
2.1,64,0.8,2.2,85,0.5,2.33
2.1,64,1.0,1.2,62,0.7,4.0
2.1,64,1.0,2.5,50,0.2,1.0
2.1,65,0.0,1.9,65,0.9,9.0
2.1,65,0.1,1.6,64,1.0,1.5
2.1,65,0.1,2.8,57,0.2,0.4286
2.1,65,0.1,2.9,55,0.3,0.4286
2.1,65,0.2,1.9,58,0.0,0.0
2.1,65,0.2,2.4,52,0.5,0.11
2.1,65,0.3,2.8,72,0.5,1.0
2.1,65,0.5,2.6,52,0.2,0.25
2.1,65,0.5,2.7,57,0.5,0.11
2.1,65,0.7,1.5,63,0.3,1.0
2.1,65,0.7,1.5,64,0.8,0.11
2.1,65,1.0,2.2,83,0.9,0.667
2.1,66,0.0,2.4,50,0.7,0.25
2.1,66,0.1,2.6,74,0.9,9.0
2.1,66,0.2,1.3,64,0.1,0.25
2.1,66,0.2,2.1,54,0.3,2.33
2.1,66,0.2,2.3,74,0.1,2.33
2.1,66,0.3,2.9,61,0.6,0.0
2.1,66,0.6,2.7,72,0.4,0.667
2.1,66,1.0,2.5,54,0.4,1.5
2.1,66,1.0,2.9,53,0.0,1.0
2.1,67,0.0,1.1,63,0.3,1.5
2.1,67,0.0,2.8,83,0.3,0.0
2.1,67,0.1,1.6,79,0.2,0.11
2.1,67,0.2,1.7,62,0.2,0.25
2.1,67,0.2,2.3,50,0.7,0.25
2.1,67,0.3,1.0,51,0.5,4.0
2.1,67,0.3,1.2,74,1.0,9.0
2.1,67,0.4,1.8,75,0.5,2.33
2.1,67,0.5,2.2,57,0.5,0.667
2.1,67,0.5,2.9,52,0.2,0.0
2.1,67,0.6,1.5,60,0.8,0.11
2.1,67,0.7,1.7,83,0.6,1.5
2.1,67,0.7,2.2,63,0.8,0.25
2.1,67,0.7,2.9,82,0.3,0.25
2.1,67,0.8,1.9,75,0.5,9.0
2.1,67,0.9,1.5,60,0.8,0.25
2.1,67,0.9,2.0,76,0.3,2.33
2.1,67,1.0,2.1,83,0.0,0.667
2.1,68,0.1,1.5,53,0.7,0.4286
2.1,68,0.4,1.7,63,0.4,0.25
2.1,68,0.5,2.9,71,1.0,0.0
2.1,68,0.6,2.5,68,0.4,2.33
2.1,68,0.6,2.5,75,0.5,0.25
2.1,68,1.0,1.7,68,0.9,0.25
2.1,68,1.0,2.5,79,0.0,0.4286
2.1,69,0.1,1.7,64,0.0,1.0
2.1,69,0.2,1.0,75,0.2,0.25
2.1,69,0.2,1.1,66,0.1,1.5
2.1,69,0.3,1.0,53,0.0,1.0
2.1,69,0.3,1.7,84,0.7,0.25
2.1,69,0.3,2.9,67,0.7,1.0
2.1,69,0.4,2.1,83,0.8,0.4286
2.1,69,0.5,1.8,63,0.6,0.11
2.1,69,0.6,1.1,53,0.5,2.33
2.1,69,0.6,1.7,61,1.0,0.4286
2.1,69,0.7,1.7,51,0.3,0.11
2.1,69,1.0,1.5,54,0.7,0.4286
2.1,69,1.0,1.9,58,0.5,0.667
2.1,70,0.0,1.0,67,0.2,1.5
2.1,70,0.0,1.1,57,1.0,2.33
2.1,70,0.0,2.4,81,1.0,1.0
2.1,70,0.0,2.7,83,0.4,0.0
2.1,70,0.1,1.1,74,0.4,1.0
2.1,70,0.2,2.0,54,0.8,1.5
2.1,70,0.3,1.7,72,0.7,0.4286
2.1,70,0.3,3.0,68,0.4,0.11
2.1,70,0.4,1.1,56,0.5,2.33
2.1,70,0.5,3.0,79,0.6,9.0
2.1,70,0.6,2.0,76,0.9,0.25
2.1,70,0.8,1.6,77,0.2,0.11
2.1,70,0.9,1.1,80,0.8,4.0
2.1,70,0.9,1.3,54,0.2,1.5
2.1,70,0.9,2.6,61,1.0,1.0
2.1,70,1.0,2.0,52,0.1,0.667
2.1,71,0.0,2.4,71,0.8,0.667
2.1,71,0.0,2.4,74,0.7,0.0
2.1,71,0.0,2.8,73,0.2,0.4286
2.1,71,0.1,1.3,54,0.1,1.5
2.1,71,0.2,2.4,52,1.0,1.5
2.1,71,0.3,1.1,54,1.0,1.5
2.1,71,0.6,1.4,75,0.2,4.0
2.1,71,0.7,1.2,59,0.3,2.33
2.1,71,0.7,2.5,83,0.7,0.11
2.1,71,0.9,1.3,77,0.2,0.11
2.1,71,0.9,1.3,83,0.6,4.0
2.1,71,0.9,1.4,77,0.9,2.33
2.1,71,1.0,2.3,50,0.1,0.0
2.1,71,1.0,2.7,81,0.5,0.667
2.1,72,0.0,2.0,60,0.0,0.11
2.1,72,0.1,2.9,71,0.0,0.667
2.1,72,0.3,2.0,81,0.5,1.5
2.1,72,0.3,2.6,80,0.9,0.25
2.1,72,0.3,2.9,52,0.7,0.4286
2.1,72,0.4,1.3,70,0.6,0.667
2.1,72,0.4,1.6,79,0.5,1.5
2.1,72,0.5,1.4,69,0.2,0.25
2.1,72,0.5,2.4,79,0.5,4.0
2.1,72,0.6,1.5,59,0.3,0.11
2.1,72,0.7,2.6,65,0.1,0.25
2.1,72,0.8,1.3,78,0.0,2.33
2.1,72,1.0,2.1,69,1.0,1.0
2.1,72,1.0,2.4,84,0.4,0.0
2.1,72,1.0,2.6,55,0.6,0.4286
2.1,73,0.3,2.5,74,0.1,1.0
2.1,73,0.8,2.4,50,0.9,0.25
2.1,73,0.9,1.2,71,0.0,0.4286
2.1,73,1.0,1.1,55,0.2,2.33
2.1,73,1.0,2.2,79,1.0,0.4286
2.1,73,1.0,2.4,60,0.3,1.0
2.1,74,0.0,2.1,64,1.0,0.4286
2.1,74,0.1,2.6,53,0.2,0.25
2.1,74,0.1,2.8,54,0.9,0.25
2.1,74,0.1,2.8,64,0.1,0.667
2.1,74,0.6,2.0,75,0.0,0.25
2.1,74,0.7,1.5,83,0.7,0.11
2.1,74,0.9,2.4,64,0.8,0.11
2.1,74,0.9,2.7,78,0.0,0.667
2.1,74,1.0,1.5,71,0.3,0.11
2.1,74,1.0,1.8,80,0.9,0.11
2.1,74,1.0,2.2,74,0.4,4.0
2.1,75,0.0,2.4,74,0.8,0.25
2.1,75,0.3,2.8,73,0.3,0.11
2.1,75,0.5,3.0,52,0.2,0.25
2.1,75,0.6,1.5,50,0.6,0.4286
2.1,75,0.6,1.7,68,0.9,0.11
2.1,75,0.7,1.5,68,0.5,1.5
2.1,75,0.7,2.5,57,0.1,0.667
2.1,75,0.8,1.8,50,0.8,0.667
2.1,75,1.0,1.0,71,0.0,9.0
2.1,75,1.0,2.1,50,0.5,0.25
2.1,76,0.0,2.9,78,1.0,1.0
2.1,76,0.1,2.4,84,0.8,2.33
2.1,76,0.1,2.6,67,0.3,1.0
2.1,76,0.2,1.4,67,0.3,2.33
2.1,76,0.5,1.0,60,0.7,0.11
2.1,76,0.5,1.9,55,0.1,0.25
2.1,76,0.5,2.1,66,1.0,0.25
2.1,76,0.5,3.0,50,0.5,0.0
2.1,76,0.6,1.5,57,0.2,0.667
2.1,76,0.7,2.0,72,1.0,0.25
2.1,76,0.8,1.0,55,0.8,2.33
2.1,76,0.8,1.0,82,0.8,2.33
2.1,76,0.8,2.1,75,0.3,0.4286
2.1,76,0.9,1.5,76,0.6,0.11
2.1,76,0.9,1.7,51,0.7,1.5
2.1,76,0.9,2.3,80,0.6,1.5
2.1,76,1.0,1.2,56,0.1,0.0
2.1,76,1.0,1.8,65,0.0,0.4286
2.1,77,0.0,2.3,54,0.7,1.0
2.1,77,0.1,1.0,82,0.1,1.5
2.1,77,0.1,1.3,68,0.5,0.11
2.1,77,0.1,1.4,75,0.9,0.4286
2.1,77,0.1,1.7,60,0.4,1.5
2.1,77,0.1,1.7,61,0.4,0.11
2.1,77,0.1,2.2,52,1.0,0.25
2.1,77,0.2,1.5,82,1.0,1.0
2.1,77,0.5,1.6,63,0.9,4.0
2.1,77,0.5,2.9,84,0.4,1.5
2.1,77,0.6,2.7,63,0.2,1.0
2.1,77,0.7,1.5,52,0.4,0.11
2.1,77,0.7,2.3,81,0.1,0.4286
2.1,77,0.7,2.8,81,0.0,0.4286
2.1,77,0.8,1.5,67,0.1,1.5
2.1,77,0.8,1.6,55,0.2,0.667
2.1,78,0.0,2.6,50,0.7,1.0
2.1,78,0.1,1.4,82,0.0,0.667
2.1,78,0.2,2.1,83,0.0,0.25
2.1,78,0.2,2.7,76,0.1,0.4286
2.1,78,0.3,1.6,74,1.0,4.0
2.1,78,0.3,3.0,56,1.0,0.667
2.1,78,0.4,1.3,79,0.5,1.5
2.1,78,0.4,3.0,65,0.0,0.667
2.1,78,0.5,2.0,83,0.5,1.5
2.1,78,0.5,3.0,66,0.5,0.25
2.1,78,0.7,2.5,76,0.0,0.0
2.1,78,0.8,2.5,84,0.6,0.25
2.1,78,0.8,3.0,79,0.1,0.0
2.1,78,0.9,1.1,81,0.4,1.0
2.1,78,0.9,1.5,69,0.7,0.11
2.1,78,0.9,2.3,52,0.5,0.4286
2.1,78,0.9,2.3,56,0.0,0.667
2.1,78,1.0,1.6,52,1.0,0.25
2.1,78,1.0,1.9,76,0.5,0.667
2.1,79,0.0,1.4,60,1.0,0.25
2.1,79,0.1,2.8,77,0.5,0.4286
2.1,79,0.2,2.9,67,0.6,1.0
2.1,79,0.4,2.0,71,0.9,0.25
2.1,79,0.4,2.1,57,0.5,0.667
2.1,79,0.4,2.6,56,1.0,0.667
2.1,79,0.8,2.5,84,0.8,0.0
2.1,79,1.0,1.1,66,0.5,2.33
2.1,80,0.0,1.1,69,0.2,0.25
2.1,80,0.0,2.3,53,0.8,0.25
2.1,80,0.0,2.6,57,0.4,0.667
2.1,80,0.1,1.2,67,0.6,0.11
2.1,80,0.1,2.2,64,0.7,0.0
2.1,80,0.1,2.3,62,0.5,1.0
2.1,80,0.1,2.9,56,0.1,0.0
2.1,80,0.2,1.2,65,0.6,1.5
2.1,80,0.2,2.9,70,0.0,0.25
2.1,80,0.3,1.5,68,0.3,2.33
2.1,80,0.3,2.7,67,0.3,0.25
2.1,80,0.6,1.8,82,0.7,0.667
2.1,80,0.6,2.2,77,0.8,0.4286
2.1,80,0.6,2.7,68,0.6,0.25
2.1,80,0.7,2.8,72,0.6,0.4286
2.1,80,0.8,1.5,57,0.8,2.33
2.1,80,0.8,2.2,75,0.3,0.4286
2.1,80,0.9,1.2,63,0.3,0.667
2.1,80,0.9,1.5,84,0.8,0.25
2.1,80,1.0,2.6,59,0.6,0.0
2.1,80,1.0,2.9,61,0.2,1.0
2.1,80,1.0,2.9,67,0.7,1.5
2.1,81,0.1,2.0,81,1.0,0.11
2.1,81,0.2,1.1,74,0.1,2.33
2.1,81,0.3,1.6,82,1.0,1.0
2.1,81,0.3,2.7,68,0.4,0.25
2.1,81,0.3,2.9,73,0.6,1.5
2.1,81,0.4,1.8,85,0.7,9.0
2.1,81,0.5,1.6,50,0.5,0.4286
2.1,81,0.5,2.0,85,0.3,0.667
2.1,81,0.6,1.9,57,0.6,0.4286
2.1,81,0.6,1.9,59,0.9,0.0
2.1,81,0.6,2.0,68,0.8,1.0
2.1,81,0.6,2.4,78,0.8,1.0
2.1,81,0.7,2.7,63,0.0,0.11
2.1,81,0.8,1.1,51,0.2,1.5
2.1,81,0.8,1.2,80,0.6,2.33
2.1,81,1.0,2.1,68,0.8,0.11
2.1,82,0.0,1.1,78,0.2,9.0
2.1,82,0.0,1.3,69,0.8,0.667
2.1,82,0.3,2.2,51,0.9,1.0
2.1,82,0.5,1.4,75,0.5,0.667
2.1,82,0.6,1.8,50,0.3,0.4286
2.1,82,0.6,2.0,61,0.8,0.667
2.1,82,0.6,3.0,75,0.1,0.4286
2.1,82,0.7,2.1,80,0.3,0.4286
2.1,82,0.9,1.2,62,0.8,1.0
2.1,82,0.9,2.2,53,0.0,0.0
2.1,82,0.9,2.4,79,0.0,0.667
2.1,82,0.9,3.0,84,0.5,0.0
2.1,83,0.0,2.3,78,0.1,0.667
2.1,83,0.0,2.8,71,0.7,0.4286
2.1,83,0.1,2.2,70,0.7,1.5
2.1,83,0.2,1.9,66,0.3,0.25
2.1,83,0.4,1.0,69,1.0,1.5
2.1,83,0.4,1.0,83,1.0,4.0
2.1,83,0.4,1.2,85,0.5,9.0
2.1,83,0.4,1.7,59,0.2,1.0
2.1,83,0.4,1.7,81,0.6,0.667
2.1,83,0.5,2.2,50,0.3,0.25
2.1,83,0.6,2.4,82,0.7,1.5
2.1,83,0.7,2.3,57,0.6,0.4286
2.1,83,0.8,1.4,66,0.8,0.4286
2.1,83,1.0,2.1,59,0.5,0.25
2.1,83,1.0,2.5,65,0.5,0.4286
2.1,84,0.0,1.1,54,0.4,4.0
2.1,84,0.1,1.8,66,0.7,1.0
2.1,84,0.2,1.9,58,0.2,0.4286
2.1,84,0.2,2.9,52,0.1,1.0
2.1,84,0.6,1.7,67,0.0,0.25
2.1,84,0.7,2.5,50,0.4,0.0
2.1,84,0.9,2.3,50,0.5,1.0
2.1,84,0.9,2.8,84,0.1,0.25
2.1,84,1.0,2.0,65,0.8,0.667
2.1,85,0.2,1.7,78,1.0,9.0
2.1,85,0.3,1.3,50,0.1,1.5
2.1,85,0.5,2.0,78,0.7,0.667
2.1,85,0.5,2.4,58,1.0,0.0
2.1,85,0.5,2.9,78,0.9,0.25
2.1,85,0.6,1.0,61,0.3,0.4286
2.1,85,0.6,1.7,52,1.0,0.4286
2.1,85,0.7,1.1,72,0.2,1.5
2.1,85,0.8,1.9,75,0.9,0.4286
2.1,85,0.9,3.0,63,0.8,1.5
2.2,50,0.0,1.8,50,0.9,0.4286
2.2,50,0.0,2.0,82,0.4,0.667
2.2,50,0.1,1.2,85,0.4,0.25
